elect_dist,republican,democratic,green,libertarian,year
29062,36,743,8,3,2016
29063,7,617,7,1,2016
29064,17,557,10,6,2016
29065,18,488,3,4,2016
29066,22,567,5,3,2016
29067,27,631,6,5,2016
29068,45,679,6,2,2016
29069,10,261,2,0,2016
29070,16,578,8,1,2016
29071,29,572,2,5,2016
29072,57,460,5,0,2016
30001,60,117,3,3,2016
30002,149,392,9,5,2016
30003,5,15,0,0,2016
30004,304,411,8,16,2016
30005,393,242,7,19,2016
30006,378,281,8,8,2016
30007,352,292,10,14,2016
30008,409,313,11,11,2016
30009,427,286,4,16,2016
30010,328,377,12,12,2016
30011,438,337,13,11,2016
30012,466,249,6,11,2016
30013,303,351,8,12,2016
30014,421,310,8,9,2016
30015,258,149,5,7,2016
30016,293,317,11,16,2016
30017,337,404,8,9,2016
30018,258,359,13,10,2016
30019,7,10,0,0,2016
30020,153,175,5,4,2016
30021,319,378,13,12,2016
30022,293,426,12,15,2016
30023,337,364,14,11,2016
30024,145,192,9,2,2016
30025,227,388,10,8,2016
30026,235,370,7,12,2016
30027,276,440,14,8,2016
30028,1,3,0,0,2016
30029,14,38,0,0,2016
30030,174,320,10,8,2016
30031,76,249,2,6,2016
30032,17,113,2,2,2016
30033,59,119,1,3,2016
30034,0,0,0,0,2016
30035,0,0,0,0,2016
30036,170,498,9,8,2016
30037,177,383,6,12,2016
30038,47,313,15,6,2016
30039,292,549,15,17,2016
30040,196,558,12,8,2016
30041,47,182,6,1,2016
30042,94,450,9,10,2016
30043,145,602,12,7,2016
30044,145,585,17,12,2016
30045,130,546,18,4,2016
30046,112,671,11,10,2016
30047,119,627,9,7,2016
30048,239,512,16,10,2016
30049,175,672,16,9,2016
30050,148,555,13,11,2016
30051,150,598,10,13,2016
30052,109,576,14,12,2016
30053,106,268,11,7,2016
30054,17,69,0,1,2016
30055,130,384,3,7,2016
30056,61,596,9,9,2016
30057,32,530,1,8,2016
30058,97,562,5,8,2016
30059,17,358,1,3,2016
